"1.2. Halálozások száma nemek és korcsoportok szerint, hetente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Év,A hét,,,Férfi ,,,,,,,,,,,,,,Nő ,,,,,,,,,,,,,,Összesen,,,,,,,,,,,,,
,sor-száma,kezdő napja, záró napja,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen,0–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85–89,90+,Összesen
,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,,éves,,,,,,,,,,,,,
2015.,1.,2014/ december 29.,2015/ január 4.,19,13,15,38,71,111,186,164,162,203,194,123,64,"1,363",22,4,6,10,35,46,84,94,139,185,308,300,204,"1,437",41,17,21,48,106,157,270,258,301,388,502,423,268,"2,800"
,2.,2015/ január 5.,2015/ január 11.,25,7,33,40,60,139,176,180,182,177,186,119,73,"1,397",11,2,10,16,33,63,115,115,147,225,312,288,271,"1,608",36,9,43,56,93,202,291,295,329,402,498,407,344,"3,005"
,3.,2015/ január 12.,2015/ január 18.,21,8,17,37,74,115,151,157,192,197,166,139,84,"1,358",13,9,4,15,26,60,111,100,156,218,292,309,229,"1,542",34,17,21,52,100,175,262,257,348,415,458,448,313,"2,900"
,4.,2015/ január 19.,2015/ január 25.,24,16,14,37,58,112,183,183,184,202,202,150,84,"1,449",16,6,9,18,40,69,98,113,151,200,305,310,221,"1,556",40,22,23,55,98,181,281,296,335,402,507,460,305,"3,005"
,5.,2015/ január 26.,2015/ február 1.,19,9,20,30,51,121,166,165,197,196,184,147,88,"1,393",13,9,17,16,34,62,100,119,144,232,314,358,256,"1,674",32,18,37,46,85,183,266,284,341,428,498,505,344,"3,067"
,6.,2015/ február 2.,2015/ február 8.,22,12,16,52,69,104,163,206,214,231,205,167,87,"1,548",14,1,14,18,43,75,104,141,179,225,344,353,291,"1,802",36,13,30,70,112,179,267,347,393,456,549,520,378,"3,350"
,7.,2015/ február 9.,2015/ február 15.,13,17,21,39,57,106,162,198,198,191,227,184,78,"1,491",11,8,12,16,35,70,105,128,156,235,382,352,279,"1,789",24,25,33,55,92,176,267,326,354,426,609,536,357,"3,280"
,8.,2015/ február 16.,2015/ február 22.,26,12,25,29,53,142,176,184,199,218,207,195,92,"1,558",17,6,7,15,31,57,92,117,196,241,335,377,300,"1,791",43,18,32,44,84,199,268,301,395,459,542,572,392,"3,349"
,9.,2015/ február 23.,2015/ március 1.,16,12,19,33,66,113,183,147,212,178,221,168,88,"1,456",13,7,12,19,30,56,81,96,163,243,315,357,272,"1,664",29,19,31,52,96,169,264,243,375,421,536,525,360,"3,120"
,10.,2015/ március 2.,2015/ március 8.,27,10,18,43,69,113,140,179,170,182,196,140,87,"1,374",7,6,11,18,32,63,83,111,141,230,316,338,232,"1,588",34,16,29,61,101,176,223,290,311,412,512,478,319,"2,962"
,11.,2015/ március 9.,2015/ március 15.,21,12,17,39,69,113,158,159,172,164,186,132,65,"1,307",11,7,5,22,29,44,93,111,154,195,277,322,200,"1,470",32,19,22,61,98,157,251,270,326,359,463,454,265,"2,777"
,12.,2015/ március 16.,2015/ március 22.,13,18,23,34,73,113,153,171,192,186,168,127,68,"1,339",14,3,6,13,35,59,82,96,136,204,282,266,229,"1,425",27,21,29,47,108,172,235,267,328,390,450,393,297,"2,764"
,13.,2015/ március 23.,2015/ március 29.,22,12,15,32,61,118,155,144,186,171,192,125,63,"1,296",7,6,7,14,35,51,101,110,133,196,272,267,195,"1,394",29,18,22,46,96,169,256,254,319,367,464,392,258,"2,690"
,14.,2015/ március 30.,2015/ április 5.,19,14,21,30,50,120,155,167,156,183,161,114,64,"1,254",11,8,10,16,25,51,85,93,144,186,279,266,211,"1,385",30,22,31,46,75,171,240,260,300,369,440,380,275,"2,639"
,15.,2015/ április 6.,2015/ április 12.,19,11,14,33,53,114,178,159,164,157,191,91,77,"1,261",12,5,11,19,22,58,90,89,122,188,264,252,219,"1,351",31,16,25,52,75,172,268,248,286,345,455,343,296,"2,612"
,16.,2015/ április 13.,2015/ április 19.,18,18,16,28,46,100,155,154,167,177,176,129,67,"1,251",8,6,17,18,29,37,104,96,134,194,262,264,192,"1,361",26,24,33,46,75,137,259,250,301,371,438,393,259,"2,612"
,17.,2015/ április 20.,2015/ április 26.,22,13,15,44,44,110,141,173,156,174,158,123,65,"1,238",6,9,15,15,31,47,87,95,147,173,249,281,205,"1,360",28,22,30,59,75,157,228,268,303,347,407,404,270,"2,598"
,18.,2015/ április 27.,2015/ május 3.,17,10,23,30,51,114,114,145,169,144,165,98,72,"1,152",17,7,10,20,25,42,86,101,146,162,268,235,196,"1,315",34,17,33,50,76,156,200,246,315,306,433,333,268,"2,467"
,19.,2015/ május 4.,2015/ május 10.,29,10,28,37,52,84,139,154,140,139,169,100,83,"1,164",8,1,7,17,24,62,81,92,125,151,254,247,187,"1,256",37,11,35,54,76,146,220,246,265,290,423,347,270,"2,420"
,20.,2015/ május 11.,2015/ május 17.,26,9,19,27,67,90,144,146,149,152,154,109,48,"1,140",12,7,9,11,22,57,95,92,102,174,213,211,148,"1,153",38,16,28,38,89,147,239,238,251,326,367,320,196,"2,293"
,21.,2015/ május 18.,2015/ május 24.,21,12,18,35,43,102,167,118,146,128,136,110,66,"1,102",7,7,6,14,32,57,66,100,109,179,229,207,159,"1,172",28,19,24,49,75,159,233,218,255,307,365,317,225,"2,274"
,22.,2015/ május 25.,2015/ május 31.,25,10,22,36,49,95,162,139,140,138,129,102,53,"1,100",9,6,9,10,26,46,73,91,106,141,200,211,149,"1,077",34,16,31,46,75,141,235,230,246,279,329,313,202,"2,177"
,23.,2015/ június 1.,2015/ június 7.,33,5,17,22,59,111,137,183,172,154,149,113,63,"1,218",13,1,10,18,27,51,82,93,129,170,234,220,168,"1,216",46,6,27,40,86,162,219,276,301,324,383,333,231,"2,434"
,24.,2015/ június 8.,2015/ június 14.,23,16,10,29,45,102,172,132,143,144,123,96,71,"1,106",11,2,12,18,27,47,90,99,135,157,204,212,178,"1,192",34,18,22,47,72,149,262,231,278,301,327,308,249,"2,298"
,25.,2015/ június 15.,2015/ június 21.,21,11,19,30,41,82,139,112,119,120,158,97,55,"1,004",18,8,11,17,20,45,60,92,95,135,186,199,177,"1,063",39,19,30,47,61,127,199,204,214,255,344,296,232,"2,067"
,26.,2015/ június 22.,2015/ június 28.,30,14,14,26,51,97,132,133,162,116,122,91,50,"1,038",14,4,15,14,30,42,77,92,118,150,198,192,157,"1,103",44,18,29,40,81,139,209,225,280,266,320,283,207,"2,141"
,27.,2015/ június 29.,2015/ július 5.,22,11,12,22,61,110,138,154,163,169,163,97,65,"1,187",14,7,9,19,31,44,72,90,129,164,219,216,182,"1,196",36,18,21,41,92,154,210,244,292,333,382,313,247,"2,383"
,28.,2015/ július 6.,2015/ július 12.,29,10,14,40,59,100,170,133,177,152,154,101,59,"1,198",11,–,7,23,32,51,87,92,114,177,253,238,208,"1,293",40,10,21,63,91,151,257,225,291,329,407,339,267,"2,491"
,29.,2015/ július 13.,2015/ július 19.,34,20,18,29,64,100,168,127,148,120,148,117,65,"1,158",14,3,11,18,25,58,81,81,112,156,238,229,174,"1,200",48,23,29,47,89,158,249,208,260,276,386,346,239,"2,358"
,30.,2015/ július 20.,2015/ július 26.,45,11,12,39,63,101,161,149,184,173,164,114,80,"1,296",12,7,7,21,26,49,80,87,139,183,261,267,190,"1,329",57,18,19,60,89,150,241,236,323,356,425,381,270,"2,625"
,31.,2015/ július 27.,2015/ augusztus 2.,19,11,14,25,55,94,139,145,120,113,136,101,60,"1,032",13,8,11,12,17,35,55,79,98,135,190,186,149,988,32,19,25,37,72,129,194,224,218,248,326,287,209,"2,020"
,32.,2015/ augusztus 3.,2015/ augusztus 9.,29,10,23,29,51,92,160,137,165,149,138,109,63,"1,155",13,3,5,15,40,33,90,108,130,162,230,219,175,"1,223",42,13,28,44,91,125,250,245,295,311,368,328,238,"2,378"
,33.,2015/ augusztus 10.,2015/ augusztus 16.,19,15,26,26,68,100,153,184,173,162,158,125,77,"1,286",14,6,13,17,37,55,96,120,141,181,278,288,215,"1,461",33,21,39,43,105,155,249,304,314,343,436,413,292,"2,747"
,34.,2015/ augusztus 17.,2015/ augusztus 23.,24,9,12,37,54,94,126,115,112,132,118,92,54,979,7,3,10,10,24,34,75,76,83,139,199,208,155,"1,023",31,12,22,47,78,128,201,191,195,271,317,300,209,"2,002"
,35.,2015/ augusztus 24.,2015/ augusztus 30.,23,15,17,43,44,88,131,138,145,146,136,109,71,"1,106",9,8,9,16,25,54,81,80,101,161,213,228,191,"1,176",32,23,26,59,69,142,212,218,246,307,349,337,262,"2,282"
,36.,2015/ augusztus 31.,2015/ szeptember 6.,17,10,15,30,43,85,141,140,150,154,120,106,71,"1,082",7,8,4,17,23,52,67,75,117,169,205,231,163,"1,138",24,18,19,47,66,137,208,215,267,323,325,337,234,"2,220"
,37.,2015/ szeptember 7.,2015/ szeptember 13.,28,8,17,43,55,108,138,155,121,116,157,107,66,"1,119",6,6,9,15,27,57,73,80,111,135,201,186,167,"1,073",34,14,26,58,82,165,211,235,232,251,358,293,233,"2,192"
,38.,2015/ szeptember 14.,2015/ szeptember 20.,22,12,15,41,46,108,141,169,149,140,156,122,59,"1,180",5,5,14,12,37,51,82,83,121,177,217,238,157,"1,199",27,17,29,53,83,159,223,252,270,317,373,360,216,"2,379"
,39.,2015/ szeptember 21.,2015/ szeptember 27.,18,10,21,28,52,78,162,142,130,135,141,91,64,"1,072",15,8,6,13,27,48,66,80,131,141,204,189,147,"1,075",33,18,27,41,79,126,228,222,261,276,345,280,211,"2,147"
,40.,2015/ szeptember 28.,2015/ október 4.,15,11,20,28,44,102,121,129,141,144,142,97,80,"1,074",11,5,8,14,26,67,93,97,120,143,172,193,169,"1,118",26,16,28,42,70,169,214,226,261,287,314,290,249,"2,192"
,41.,2015/ október 5.,2015/ október 11.,21,17,15,30,49,88,136,144,163,169,138,103,70,"1,143",8,4,7,17,27,52,81,87,108,173,240,213,172,"1,189",29,21,22,47,76,140,217,231,271,342,378,316,242,"2,332"
,42.,2015/ október 12.,2015/ október 18.,23,12,27,40,57,100,144,158,160,156,143,122,81,"1,223",5,3,6,18,32,44,79,90,118,165,210,273,197,"1,240",28,15,33,58,89,144,223,248,278,321,353,395,278,"2,463"
,43.,2015/ október 19.,2015/ október 25.,26,12,17,41,58,92,148,140,172,161,143,121,59,"1,190",10,3,9,14,26,57,82,93,135,148,252,250,168,"1,247",36,15,26,55,84,149,230,233,307,309,395,371,227,"2,437"
,44.,2015/ október 26.,2015/ november 1.,19,8,16,28,61,105,150,146,146,151,135,92,55,"1,112",12,5,8,15,30,58,83,113,111,163,256,251,201,"1,306",31,13,24,43,91,163,233,259,257,314,391,343,256,"2,418"
,45.,2015/ november 2.,2015/ november 8.,26,13,21,26,53,113,165,150,156,158,160,120,53,"1,214",12,1,7,18,25,53,85,95,118,174,235,210,178,"1,211",38,14,28,44,78,166,250,245,274,332,395,330,231,"2,425"
,46.,2015/ november 9.,2015/ november 15.,29,8,24,30,46,103,166,128,144,137,146,110,58,"1,129",13,8,9,17,19,42,65,90,108,161,252,227,175,"1,186",42,16,33,47,65,145,231,218,252,298,398,337,233,"2,315"
,47.,2015/ november 16.,2015/ november 22.,16,4,11,26,58,98,156,132,145,161,170,126,72,"1,175",12,7,10,13,26,43,70,118,130,149,231,249,207,"1,265",28,11,21,39,84,141,226,250,275,310,401,375,279,"2,440"
,48.,2015/ november 23.,2015/ november 29.,20,12,12,37,64,98,152,152,150,170,159,111,57,"1,194",5,4,10,10,28,56,85,82,122,158,245,244,146,"1,195",25,16,22,47,92,154,237,234,272,328,404,355,203,"2,389"
,49.,2015/ november 30.,2015/ december 6.,21,9,26,34,49,97,162,154,138,158,135,104,50,"1,137",9,6,5,13,28,65,80,98,121,153,230,262,178,"1,248",30,15,31,47,77,162,242,252,259,311,365,366,228,"2,385"
,50.,2015/ december 7.,2015/ december 13.,28,16,13,31,47,94,158,160,163,182,126,111,68,"1,197",17,11,4,22,29,47,75,94,117,163,234,241,167,"1,221",45,27,17,53,76,141,233,254,280,345,360,352,235,"2,418"
,51.,2015/ december 14.,2015/ december 20.,24,17,21,48,58,118,150,151,143,135,145,119,56,"1,185",12,6,10,12,24,47,93,93,119,165,223,235,182,"1,221",36,23,31,60,82,165,243,244,262,300,368,354,238,"2,406"
,52.,2015/ december 21.,2015/ december 27.,22,13,15,47,67,105,144,175,160,157,181,96,62,"1,244",10,8,8,11,27,56,95,94,112,190,227,238,194,"1,270",32,21,23,58,94,161,239,269,272,347,408,334,256,"2,514"
,53.,2015/ december 28.,2016/ január 3.,11,8,22,36,64,116,175,150,163,158,164,107,67,"1,241",6,5,10,12,16,50,110,102,117,200,231,235,184,"1,278",17,13,32,48,80,166,285,252,280,358,395,342,251,"2,519"
2016.,1.,2016/ január 4.,2016/ január 10.,23,8,23,42,55,110,189,177,186,182,187,142,100,"1,424",9,7,10,20,33,51,90,111,141,176,258,264,229,"1,399",32,15,33,62,88,161,279,288,327,358,445,406,329,"2,823"
,2.,2016/ január 11.,2016/ január 17.,19,7,22,33,65,107,155,160,186,154,142,129,77,"1,256",5,6,7,30,20,44,100,117,130,193,260,268,204,"1,384",24,13,29,63,85,151,255,277,316,347,402,397,281,"2,640"
,3.,2016/ január 18.,2016/ január 24.,24,11,14,37,67,99,138,160,172,162,178,133,57,"1,252",14,8,9,19,29,54,83,99,143,159,240,269,184,"1,310",38,19,23,56,96,153,221,259,315,321,418,402,241,"2,562"
,4.,2016/ január 25.,2016/ január 31.,12,9,28,38,54,102,149,168,152,148,157,155,70,"1,242",9,3,10,16,21,50,80,103,134,191,271,267,218,"1,373",21,12,38,54,75,152,229,271,286,339,428,422,288,"2,615"
,5.,2016/ február 1.,2016/ február 7.,15,10,14,33,53,106,128,132,155,172,145,113,69,"1,145",15,10,6,23,21,55,93,111,111,174,271,248,200,"1,338",30,20,20,56,74,161,221,243,266,346,416,361,269,"2,483"
,6.,2016/ február 8.,2016/ február 14.,24,10,21,46,62,93,165,183,170,174,150,123,69,"1,290",14,4,12,13,26,53,96,114,129,167,258,248,216,"1,350",38,14,33,59,88,146,261,297,299,341,408,371,285,"2,640"
,7.,2016/ február 15.,2016/ február 21.,19,20,16,37,59,101,149,173,192,179,158,115,66,"1,284",6,8,12,16,21,38,96,104,130,155,231,263,211,"1,291",25,28,28,53,80,139,245,277,322,334,389,378,277,"2,575"
,8.,2016/ február 22.,2016/ február 28.,29,11,13,31,57,106,145,155,164,173,147,120,72,"1,223",19,5,11,24,25,47,90,94,99,174,224,249,207,"1,268",48,16,24,55,82,153,235,249,263,347,371,369,279,"2,491"
,9.,2016/ február 29.,2016/ március 6.,19,10,12,27,46,113,182,174,176,171,152,112,68,"1,262",13,2,7,17,19,51,80,111,125,179,236,235,198,"1,273",32,12,19,44,65,164,262,285,301,350,388,347,266,"2,535"
,10.,2016/ március 7.,2016/ március 13.,15,12,27,35,51,110,155,175,136,163,165,102,50,"1,196",11,7,14,13,27,35,83,112,127,190,219,261,201,"1,300",26,19,41,48,78,145,238,287,263,353,384,363,251,"2,496"
,11.,2016/ március 14.,2016/ március 20.,19,12,15,28,62,91,160,155,185,149,151,116,72,"1,215",15,5,6,16,25,47,78,97,129,184,237,202,182,"1,223",34,17,21,44,87,138,238,252,314,333,388,318,254,"2,438"
,12.,2016/ március 21.,2016/ március 27.,25,9,12,38,53,106,157,154,151,175,182,116,65,"1,243",8,4,7,15,29,45,83,91,112,171,238,255,180,"1,238",33,13,19,53,82,151,240,245,263,346,420,371,245,"2,481"
,13.,2016/ március 28.,2016/ április 3.,16,9,16,31,56,114,157,180,155,168,160,116,69,"1,247",6,5,16,13,29,51,87,100,117,176,224,260,206,"1,290",22,14,32,44,85,165,244,280,272,344,384,376,275,"2,537"
,14.,2016/ április 4.,2016/ április 10.,21,10,16,34,64,92,155,148,160,165,144,106,69,"1,184",11,7,8,8,25,57,80,97,145,168,220,259,187,"1,272",32,17,24,42,89,149,235,245,305,333,364,365,256,"2,456"
,15.,2016/ április 11.,2016/ április 17.,27,12,15,46,50,90,146,155,128,151,139,106,57,"1,122",15,6,9,20,26,43,74,107,95,184,213,219,185,"1,196",42,18,24,66,76,133,220,262,223,335,352,325,242,"2,318"
,16.,2016/ április 18.,2016/ április 24.,16,7,23,32,43,93,139,156,134,147,135,117,66,"1,108",11,4,8,17,20,49,77,91,125,190,224,231,194,"1,241",27,11,31,49,63,142,216,247,259,337,359,348,260,"2,349"
,17.,2016/ április 25.,2016/ május 1.,19,10,13,34,38,104,165,190,156,153,159,100,76,"1,217",22,11,15,20,26,36,75,86,84,152,237,214,169,"1,147",41,21,28,54,64,140,240,276,240,305,396,314,245,"2,364"
,18.,2016/ május 2.,2016/ május 8.,16,15,20,25,51,85,145,181,157,126,135,98,70,"1,124",10,1,9,19,20,39,72,86,111,165,209,224,190,"1,155",26,16,29,44,71,124,217,267,268,291,344,322,260,"2,279"
,19.,2016/ május 9.,2016/ május 15.,20,10,18,27,59,97,151,154,155,148,161,130,71,"1,201",12,11,10,11,18,51,89,101,122,152,191,212,189,"1,169",32,21,28,38,77,148,240,255,277,300,352,342,260,"2,370"
,20.,2016/ május 16.,2016/ május 22.,17,7,24,33,65,113,144,157,158,168,128,99,81,"1,194",17,5,11,12,17,46,85,96,123,162,224,225,164,"1,187",34,12,35,45,82,159,229,253,281,330,352,324,245,"2,381"
,21.,2016/ május 23.,2016/ május 29.,19,6,19,23,64,88,149,157,148,139,159,112,58,"1,141",6,9,3,14,22,43,80,93,100,166,216,202,166,"1,120",25,15,22,37,86,131,229,250,248,305,375,314,224,"2,261"
,22.,2016/ május 30.,2016/ június 5.,26,10,18,26,41,95,147,174,150,147,132,94,58,"1,118",12,5,5,12,27,44,83,94,125,146,214,231,169,"1,167",38,15,23,38,68,139,230,268,275,293,346,325,227,"2,285"
,23.,2016/ június 6.,2016/ június 12.,23,8,24,33,53,90,135,163,181,129,139,116,57,"1,151",8,5,3,19,29,49,69,102,101,146,196,182,175,"1,084",31,13,27,52,82,139,204,265,282,275,335,298,232,"2,235"
,24.,2016/ június 13.,2016/ június 19.,23,16,18,24,54,91,130,134,144,145,138,106,64,"1,087",12,3,6,12,26,34,84,87,82,141,202,203,172,"1,064",35,19,24,36,80,125,214,221,226,286,340,309,236,"2,151"
,25.,2016/ június 20.,2016/ június 26.,21,13,10,39,45,74,150,173,185,172,163,113,59,"1,217",10,10,14,11,26,43,83,101,110,188,240,225,203,"1,264",31,23,24,50,71,117,233,274,295,360,403,338,262,"2,481"
,26.,2016/ június 27.,2016/ július 3.,26,13,16,38,48,92,137,174,134,154,132,96,65,"1,125",9,4,11,18,26,51,92,111,88,158,207,230,173,"1,178",35,17,27,56,74,143,229,285,222,312,339,326,238,"2,303"
,27.,2016/ július 4.,2016/ július 10.,34,11,14,28,50,91,127,153,139,153,154,104,57,"1,115",6,1,7,8,19,40,44,83,107,135,219,162,156,987,40,12,21,36,69,131,171,236,246,288,373,266,213,"2,102"
,28.,2016/ július 11.,2016/ július 17.,26,13,15,34,58,100,148,156,150,155,146,104,60,"1,165",11,3,13,15,15,44,81,89,116,159,202,194,169,"1,111",37,16,28,49,73,144,229,245,266,314,348,298,229,"2,276"
,29.,2016/ július 18.,2016/ július 24.,22,11,17,37,61,83,138,159,127,152,128,81,63,"1,079",18,–,7,9,16,43,67,95,113,167,216,199,181,"1,131",40,11,24,46,77,126,205,254,240,319,344,280,244,"2,210"
,30.,2016/ július 25.,2016/ július 31.,24,10,14,36,54,83,158,145,149,143,134,106,55,"1,111",6,4,8,11,24,53,85,94,127,154,207,223,170,"1,166",30,14,22,47,78,136,243,239,276,297,341,329,225,"2,277"
,31.,2016/ augusztus 1.,2016/ augusztus 7.,17,11,15,34,35,79,153,146,141,168,152,102,55,"1,108",10,5,13,12,25,51,60,75,128,157,201,219,157,"1,113",27,16,28,46,60,130,213,221,269,325,353,321,212,"2,221"
,32.,2016/ augusztus 8.,2016/ augusztus 14.,26,8,15,30,46,78,157,127,158,106,131,106,67,"1,055",11,4,10,16,24,49,69,82,112,157,202,197,132,"1,065",37,12,25,46,70,127,226,209,270,263,333,303,199,"2,120"
,33.,2016/ augusztus 15.,2016/ augusztus 21.,17,6,16,23,49,88,142,140,141,129,127,114,61,"1,053",12,7,10,11,23,43,81,68,120,164,248,216,166,"1,169",29,13,26,34,72,131,223,208,261,293,375,330,227,"2,222"
,34.,2016/ augusztus 22.,2016/ augusztus 28.,12,11,13,36,43,102,151,144,144,158,137,110,62,"1,123",5,8,4,14,21,39,79,77,129,158,225,207,152,"1,118",17,19,17,50,64,141,230,221,273,316,362,317,214,"2,241"
,35.,2016/ augusztus 29.,2016/ szeptember 4.,19,10,17,39,59,96,170,130,172,161,151,104,56,"1,184",12,7,9,8,23,41,80,85,106,184,210,201,170,"1,136",31,17,26,47,82,137,250,215,278,345,361,305,226,"2,320"
,36.,2016/ szeptember 5.,2016/ szeptember 11.,21,8,19,31,59,79,160,151,144,147,116,110,55,"1,100",9,7,6,12,21,34,86,72,116,174,188,228,193,"1,146",30,15,25,43,80,113,246,223,260,321,304,338,248,"2,246"
,37.,2016/ szeptember 12.,2016/ szeptember 18.,27,8,22,31,62,95,148,159,171,136,143,120,56,"1,178",10,2,11,16,19,66,79,84,119,171,228,207,175,"1,187",37,10,33,47,81,161,227,243,290,307,371,327,231,"2,365"
,38.,2016/ szeptember 19.,2016/ szeptember 25.,29,8,20,34,58,91,148,148,138,136,140,108,54,"1,112",8,8,9,7,13,47,67,87,108,153,233,217,194,"1,151",37,16,29,41,71,138,215,235,246,289,373,325,248,"2,263"
,39.,2016/ szeptember 26.,2016/ október 2.,24,8,24,32,57,108,145,150,171,155,138,139,61,"1,212",9,3,11,13,25,58,83,84,114,181,217,228,185,"1,211",33,11,35,45,82,166,228,234,285,336,355,367,246,"2,423"
,40.,2016/ október 3.,2016/ október 9.,23,12,27,34,48,91,172,179,144,166,140,115,73,"1,224",12,11,4,15,27,31,73,111,118,181,218,237,185,"1,223",35,23,31,49,75,122,245,290,262,347,358,352,258,"2,447"
,41.,2016/ október 10.,2016/ október 16.,17,11,12,33,54,104,144,186,155,172,171,125,77,"1,261",9,3,8,18,35,40,91,99,117,172,227,242,216,"1,277",26,14,20,51,89,144,235,285,272,344,398,367,293,"2,538"
,42.,2016/ október 17.,2016/ október 23.,21,12,12,31,46,87,155,162,164,159,147,127,79,"1,202",7,8,8,14,22,52,96,98,123,181,245,246,191,"1,291",28,20,20,45,68,139,251,260,287,340,392,373,270,"2,493"
,43.,2016/ október 24.,2016/ október 30.,17,5,17,30,52,81,136,165,168,158,167,118,79,"1,193",9,4,7,12,41,58,69,93,140,155,260,270,216,"1,334",26,9,24,42,93,139,205,258,308,313,427,388,295,"2,527"
,44.,2016/ október 31.,2016/ november 6.,12,11,17,30,52,105,159,174,158,164,153,119,85,"1,239",4,7,8,16,29,50,78,97,107,164,237,234,188,"1,219",16,18,25,46,81,155,237,271,265,328,390,353,273,"2,458"
,45.,2016/ november 7.,2016/ november 13.,13,14,19,32,52,89,150,174,143,142,175,119,70,"1,192",13,5,8,17,25,42,88,115,122,179,241,246,178,"1,279",26,19,27,49,77,131,238,289,265,321,416,365,248,"2,471"
,46.,2016/ november 14.,2016/ november 20.,20,7,16,43,37,104,171,159,178,161,147,110,53,"1,206",13,4,12,15,22,48,80,93,128,173,209,266,214,"1,277",33,11,28,58,59,152,251,252,306,334,356,376,267,"2,483"
,47.,2016/ november 21.,2016/ november 27.,22,12,21,28,65,85,147,188,159,150,159,119,70,"1,225",9,3,11,19,16,45,96,96,144,180,227,244,224,"1,314",31,15,32,47,81,130,243,284,303,330,386,363,294,"2,539"
,48.,2016/ november 28.,2016/ december 4.,14,7,21,31,56,112,174,184,176,155,183,115,58,"1,286",8,6,11,15,21,39,72,98,137,178,239,251,179,"1,254",22,13,32,46,77,151,246,282,313,333,422,366,237,"2,540"
,49.,2016/ december 5.,2016/ december 11.,23,14,19,34,49,121,193,201,165,152,164,121,57,"1,313",11,4,9,15,27,44,87,92,142,177,233,275,206,"1,322",34,18,28,49,76,165,280,293,307,329,397,396,263,"2,635"
