"1.2. Halálozások száma nemek és korcsoportok szerint, hetente",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51.,2018/ december 17.,2018/ december 23.,18,11,24,49,66,100,159,194,201,185,165,137,76,"1,385",13,1,2,15,28,38,98,115,148,201,268,261,224,"1,412",31,12,26,64,94,138,257,309,349,386,433,398,300,"2,797"
,52.,2018/ december 24.,2018/ december 30.,23,5,21,35,53,106,168,194,193,184,180,131,80,"1,373",7,2,12,17,22,48,88,129,147,199,263,283,270,"1,487",30,7,33,52,75,154,256,323,340,383,443,414,350,"2,860"
2019.,1.,2018/ december 31.,2019/ január 6.,24,9,17,37,78,110,158,201,194,178,183,140,90,"1,419",11,5,13,26,24,55,105,129,163,216,286,319,283,"1,635",35,14,30,63,102,165,263,330,357,394,469,459,373,"3,054"
,2.,2019/ január 7.,2019/ január 13.,16,13,22,35,63,93,179,233,230,192,177,150,77,"1,480",14,2,10,13,31,44,101,127,160,223,305,308,272,"1,610",30,15,32,48,94,137,280,360,390,415,482,458,349,"3,090"
,3.,2019/ január 14.,2019/ január 20.,21,6,22,38,65,82,170,199,186,192,176,157,94,"1,408",9,4,11,14,26,51,93,121,157,234,315,327,267,"1,629",30,10,33,52,91,133,263,320,343,426,491,484,361,"3,037"
,4.,2019/ január 21.,2019/ január 27.,21,7,26,39,54,92,186,242,204,221,187,173,108,"1,560",12,5,10,21,30,46,112,107,152,220,336,333,290,"1,674",33,12,36,60,84,138,298,349,356,441,523,506,398,"3,234"
,5.,2019/ január 28.,2019/ február 3.,27,6,11,52,82,100,197,218,211,214,191,161,96,"1,566",8,7,6,13,27,66,111,139,174,264,352,347,304,"1,818",35,13,17,65,109,166,308,357,385,478,543,508,400,"3,384"
,6.,2019/ február 4.,2019/ február 10.,22,10,22,41,61,102,181,214,225,219,185,173,74,"1,529",6,4,12,21,19,53,89,146,174,221,316,362,311,"1,734",28,14,34,62,80,155,270,360,399,440,501,535,385,"3,263"
,7.,2019/ február 11.,2019/ február 17.,22,9,21,37,79,91,187,186,180,213,163,137,97,"1,422",12,3,10,21,42,45,105,113,151,228,303,316,263,"1,612",34,12,31,58,121,136,292,299,331,441,466,453,360,"3,034"
,8.,2019/ február 18.,2019/ február 24.,19,7,26,35,51,77,155,219,206,204,177,149,72,"1,397",7,9,10,12,25,36,84,135,140,198,288,285,262,"1,491",26,16,36,47,76,113,239,354,346,402,465,434,334,"2,888"
,9.,2019/ február 25.,2019/ március 3.,28,12,22,45,54,104,170,212,185,203,174,142,83,"1,434",18,3,8,16,28,45,73,107,168,194,281,305,229,"1,475",46,15,30,61,82,149,243,319,353,397,455,447,312,"2,909"
,10.,2019/ március 4.,2019/ március 10.,25,14,19,32,44,71,143,182,180,173,150,142,74,"1,249",9,8,8,17,19,48,87,125,147,204,273,278,241,"1,464",34,22,27,49,63,119,230,307,327,377,423,420,315,"2,713"
,11.,2019/ március 11.,2019/ március 17.,20,9,15,28,49,109,159,184,192,189,160,123,71,"1,308",10,5,8,20,21,40,86,102,134,207,286,272,234,"1,425",30,14,23,48,70,149,245,286,326,396,446,395,305,"2,733"
,12.,2019/ március 18.,2019/ március 24.,16,7,20,26,60,91,134,181,179,142,139,134,74,"1,203",9,2,5,16,18,32,72,92,143,158,253,267,199,"1,266",25,9,25,42,78,123,206,273,322,300,392,401,273,"2,469"
,13.,2019/ március 25.,2019/ március 31.,17,6,16,23,47,82,148,150,163,160,126,124,69,"1,131",11,6,11,12,25,40,73,108,119,202,229,238,206,"1,280",28,12,27,35,72,122,221,258,282,362,355,362,275,"2,411"
,14.,2019/ április 1.,2019/ április 7.,21,12,21,35,47,74,127,184,147,166,136,118,69,"1,157",12,3,11,11,25,46,95,109,120,152,221,252,200,"1,257",33,15,32,46,72,120,222,293,267,318,357,370,269,"2,414"
,15.,2019/ április 8.,2019/ április 14.,21,4,18,26,54,78,149,191,150,177,134,116,66,"1,184",14,2,7,9,28,29,77,97,114,169,204,244,215,"1,209",35,6,25,35,82,107,226,288,264,346,338,360,281,"2,393"
,16.,2019/ április 15.,2019/ április 21.,20,11,19,30,55,80,142,168,158,169,109,115,66,"1,142",10,3,8,16,21,24,70,95,124,183,200,216,215,"1,185",30,14,27,46,76,104,212,263,282,352,309,331,281,"2,327"
,17.,2019/ április 22.,2019/ április 28.,15,6,19,24,50,91,148,186,147,153,142,129,57,"1,167",4,6,6,7,27,39,86,105,132,168,235,273,187,"1,275",19,12,25,31,77,130,234,291,279,321,377,402,244,"2,442"
,18.,2019/ április 29.,2019/ május 5.,17,11,21,34,45,69,145,159,142,168,134,101,70,"1,116",5,8,7,17,16,43,76,128,88,173,201,219,219,"1,200",22,19,28,51,61,112,221,287,230,341,335,320,289,"2,316"
,19.,2019/ május 6.,2019/ május 12.,17,8,22,30,53,61,115,154,130,179,126,126,77,"1,098",6,6,6,12,24,40,69,113,100,188,212,244,165,"1,185",23,14,28,42,77,101,184,267,230,367,338,370,242,"2,283"
,20.,2019/ május 13.,2019/ május 19.,16,7,20,20,49,84,134,160,142,161,145,107,53,"1,098",7,4,13,16,22,32,81,91,118,173,189,193,171,"1,110",23,11,33,36,71,116,215,251,260,334,334,300,224,"2,208"
,21.,2019/ május 20.,2019/ május 26.,16,5,19,27,42,61,130,172,157,155,126,104,67,"1,081",5,2,14,13,21,42,65,100,122,166,219,244,189,"1,202",21,7,33,40,63,103,195,272,279,321,345,348,256,"2,283"
,22.,2019/ május 27.,2019/ június 2.,15,14,12,32,46,76,153,145,146,156,122,103,73,"1,093",13,8,6,11,24,36,70,93,111,146,205,207,173,"1,103",28,22,18,43,70,112,223,238,257,302,327,310,246,"2,196"
,23.,2019/ június 3.,2019/ június 9.,23,9,16,24,49,66,155,160,156,169,130,108,65,"1,130",7,4,8,20,17,47,82,116,113,154,197,219,174,"1,158",30,13,24,44,66,113,237,276,269,323,327,327,239,"2,288"
,24.,2019/ június 10.,2019/ június 16.,24,7,28,42,49,79,150,185,173,186,146,129,67,"1,265",10,5,9,13,22,35,86,111,109,204,256,275,223,"1,358",34,12,37,55,71,114,236,296,282,390,402,404,290,"2,623"
,25.,2019/ június 17.,2019/ június 23.,21,12,19,22,49,74,126,166,173,145,131,128,63,"1,129",11,4,13,8,20,38,62,95,121,137,208,203,168,"1,088",32,16,32,30,69,112,188,261,294,282,339,331,231,"2,217"
,26.,2019/ június 24.,2019/ június 30.,26,6,26,36,45,90,144,142,155,169,126,97,61,"1,123",9,4,11,18,23,43,64,95,114,156,233,213,141,"1,124",35,10,37,54,68,133,208,237,269,325,359,310,202,"2,247"
,27.,2019/ július 1.,2019/ július 7.,25,13,17,26,50,83,155,158,127,160,126,105,62,"1,107",10,5,11,21,19,35,63,86,120,167,194,243,161,"1,135",35,18,28,47,69,118,218,244,247,327,320,348,223,"2,242"
,28.,2019/ július 8.,2019/ július 14.,13,12,11,23,47,71,130,150,142,133,135,82,47,996,12,5,9,10,18,43,51,88,100,152,194,215,172,"1,069",25,17,20,33,65,114,181,238,242,285,329,297,219,"2,065"
,29.,2019/ július 15.,2019/ július 21.,17,11,16,28,36,101,131,148,147,154,131,125,72,"1,117",8,3,1,21,25,40,62,101,123,154,205,230,202,"1,175",25,14,17,49,61,141,193,249,270,308,336,355,274,"2,292"
,30.,2019/ július 22.,2019/ július 28.,17,5,20,29,53,101,145,164,164,176,129,127,66,"1,196",11,4,13,14,29,35,88,100,128,173,217,249,214,"1,275",28,9,33,43,82,136,233,264,292,349,346,376,280,"2,471"
,31.,2019/ július 29.,2019/ augusztus 4.,17,10,18,31,52,77,119,186,157,144,118,87,56,"1,072",8,7,9,10,22,37,53,100,106,154,204,203,185,"1,098",25,17,27,41,74,114,172,286,263,298,322,290,241,"2,170"
,32.,2019/ augusztus 5.,2019/ augusztus 11.,14,6,24,27,51,80,128,138,142,151,130,111,69,"1,071",9,6,11,10,12,31,60,93,117,147,211,243,194,"1,144",23,12,35,37,63,111,188,231,259,298,341,354,263,"2,215"
,33.,2019/ augusztus 12.,2019/ augusztus 18.,23,14,15,35,44,75,146,162,144,170,111,101,48,"1,088",12,5,6,10,16,44,67,100,100,182,180,230,178,"1,130",35,19,21,45,60,119,213,262,244,352,291,331,226,"2,218"
,34.,2019/ augusztus 19.,2019/ augusztus 25.,23,5,23,27,52,74,133,150,153,145,119,128,63,"1,095",10,6,7,9,22,37,61,91,104,167,213,229,184,"1,140",33,11,30,36,74,111,194,241,257,312,332,357,247,"2,235"
,35.,2019/ augusztus 26.,2019/ szeptember 1.,18,12,12,42,48,68,130,171,148,167,153,111,75,"1,155",7,6,6,13,28,44,69,111,127,146,218,228,215,"1,218",25,18,18,55,76,112,199,282,275,313,371,339,290,"2,373"
,36.,2019/ szeptember 2.,2019/ szeptember 8.,22,8,20,27,50,78,138,164,148,138,126,101,52,"1,072",8,4,11,18,18,37,66,98,101,165,215,213,173,"1,127",30,12,31,45,68,115,204,262,249,303,341,314,225,"2,199"
,37.,2019/ szeptember 9.,2019/ szeptember 15.,27,12,17,25,49,68,138,152,172,158,125,98,58,"1,099",12,3,10,11,27,30,72,88,116,137,193,189,167,"1,055",39,15,27,36,76,98,210,240,288,295,318,287,225,"2,154"
,38.,2019/ szeptember 16.,2019/ szeptember 22.,23,9,13,33,52,79,125,150,136,152,132,128,59,"1,091",14,2,6,14,25,30,77,101,122,157,197,218,187,"1,150",37,11,19,47,77,109,202,251,258,309,329,346,246,"2,241"
,39.,2019/ szeptember 23.,2019/ szeptember 29.,19,6,15,37,58,79,151,184,150,184,151,106,84,"1,224",11,2,12,14,32,38,75,105,112,168,234,245,222,"1,270",30,8,27,51,90,117,226,289,262,352,385,351,306,"2,494"
,40.,2019/ szeptember 30.,2019/ október 6.,21,5,28,27,51,90,148,162,173,174,142,112,75,"1,208",14,5,14,21,28,46,73,120,113,168,218,203,211,"1,234",35,10,42,48,79,136,221,282,286,342,360,315,286,"2,442"
,41.,2019/ október 7.,2019/ október 13.,28,9,12,30,39,85,132,186,164,159,149,130,66,"1,189",11,3,14,9,23,35,65,89,114,155,244,236,195,"1,193",39,12,26,39,62,120,197,275,278,314,393,366,261,"2,382"
,42.,2019/ október 14.,2019/ október 20.,18,10,12,17,62,87,128,161,173,158,141,113,70,"1,150",7,1,6,13,31,37,55,102,117,195,224,228,228,"1,244",25,11,18,30,93,124,183,263,290,353,365,341,298,"2,394"
,43.,2019/ október 21.,2019/ október 27.,14,14,20,37,49,82,103,166,157,168,150,126,89,"1,175",12,2,11,7,15,39,64,116,123,171,196,237,187,"1,180",26,16,31,44,64,121,167,282,280,339,346,363,276,"2,355"
,44.,2019/ október 28.,2019/ november 3.,12,12,21,32,55,73,122,183,160,164,148,110,55,"1,147",13,6,11,14,24,21,66,98,107,167,212,229,182,"1,150",25,18,32,46,79,94,188,281,267,331,360,339,237,"2,297"
,45.,2019/ november 4.,2019/ november 10.,16,4,15,23,57,71,128,189,148,165,138,129,66,"1,149",7,5,8,13,20,36,86,104,132,189,225,271,198,"1,294",23,9,23,36,77,107,214,293,280,354,363,400,264,"2,443"
,46.,2019/ november 11.,2019/ november 17.,21,6,16,19,45,76,133,170,166,177,124,115,82,"1,150",8,4,11,11,30,44,61,109,122,145,221,227,216,"1,209",29,10,27,30,75,120,194,279,288,322,345,342,298,"2,359"
,47.,2019/ november 18.,2019/ november 24.,22,9,11,27,48,82,123,179,155,167,125,115,65,"1,128",14,3,12,13,19,32,68,105,114,162,213,226,192,"1,173",36,12,23,40,67,114,191,284,269,329,338,341,257,"2,301"
,48.,2019/ november 25.,2019/ december 1.,22,4,17,25,58,82,129,170,151,140,156,117,66,"1,137",10,6,8,15,23,35,69,97,144,174,197,237,205,"1,220",32,10,25,40,81,117,198,267,295,314,353,354,271,"2,357"
,49.,2019/ december 2.,2019/ december 8.,15,12,17,33,41,91,148,194,151,183,154,120,68,"1,227",15,4,11,13,21,39,80,118,130,189,230,267,217,"1,334",30,16,28,46,62,130,228,312,281,372,384,387,285,"2,561"
,50.,2019/ december 9.,2019/ december 15.,21,7,24,37,46,84,154,182,166,195,165,117,71,"1,269",12,2,4,14,28,43,82,112,113,181,207,237,222,"1,257",33,9,28,51,74,127,236,294,279,376,372,354,293,"2,526"
,51.,2019/ december 16.,2019/ december 22.,22,16,22,31,60,70,143,191,175,173,136,123,70,"1,232",15,7,11,13,27,42,83,117,127,176,224,261,203,"1,306",37,23,33,44,87,112,226,308,302,349,360,384,273,"2,538"
,52.,2019/ december 23.,2019/ december 29.,18,12,15,19,57,83,141,200,158,171,153,122,76,"1,225",10,1,8,10,19,44,62,98,133,174,252,266,193,"1,270",28,13,23,29,76,127,203,298,291,345,405,388,269,"2,495"
2020.,1.,2019/ december 30.,2020/ január 5.,17,10,14,31,66,96,156,182,167,182,148,121,73,"1,263",9,3,7,17,32,51,83,133,145,179,243,240,204,"1,346",26,13,21,48,98,147,239,315,312,361,391,361,277,"2,609"
,2.,2020/ január 6.,2020/ január 12.,25,11,27,29,54,89,151,199,175,146,176,147,72,"1,301",10,4,8,11,27,33,77,109,131,195,227,240,213,"1,285",35,15,35,40,81,122,228,308,306,341,403,387,285,"2,586"
,3.,2020/ január 13.,2020/ január 19.,21,7,18,36,61,75,131,164,184,181,163,121,82,"1,244",9,5,10,16,25,48,85,102,125,193,251,243,226,"1,338",30,12,28,52,86,123,216,266,309,374,414,364,308,"2,582"
,4.,2020/ január 20.,2020/ január 26.,15,7,21,34,53,91,149,202,167,187,148,133,75,"1,282",11,3,11,8,31,46,96,109,156,197,265,297,208,"1,438",26,10,32,42,84,137,245,311,323,384,413,430,283,"2,720"
,5.,2020/ január 27.,2020/ február 2.,22,9,18,34,49,75,156,196,201,207,165,139,86,"1,357",10,3,9,6,22,39,87,126,134,243,246,263,255,"1,443",32,12,27,40,71,114,243,322,335,450,411,402,341,"2,800"
,6.,2020/ február 3.,2020/ február 9.,16,16,14,31,51,91,155,180,183,200,156,136,66,"1,295",6,4,10,11,25,44,69,124,143,190,242,260,212,"1,340",22,20,24,42,76,135,224,304,326,390,398,396,278,"2,635"
,7.,2020/ február 10.,2020/ február 16.,21,10,18,32,58,87,117,204,172,197,181,125,82,"1,304",12,5,6,10,19,44,89,135,158,206,258,276,228,"1,446",33,15,24,42,77,131,206,339,330,403,439,401,310,"2,750"
,8.,2020/ február 17.,2020/ február 23.,19,8,16,26,48,84,129,176,164,200,156,126,70,"1,222",4,4,11,11,16,35,76,141,137,186,248,267,228,"1,364",23,12,27,37,64,119,205,317,301,386,404,393,298,"2,586"
,9.,2020/ február 24.,2020/ március 1.,16,8,21,39,58,77,148,189,194,192,168,111,81,"1,302",12,2,11,17,31,41,85,115,151,198,276,292,249,"1,480",28,10,32,56,89,118,233,304,345,390,444,403,330,"2,782"
,10.,2020/ március 2.,2020/ március 8.,23,6,15,25,52,79,153,208,178,197,166,132,70,"1,304",8,2,10,15,17,27,71,93,141,182,252,243,240,"1,301",31,8,25,40,69,106,224,301,319,379,418,375,310,"2,605"
,11.,2020/ március 9.,2020/ március 15.,25,8,17,17,60,73,124,164,188,198,161,117,74,"1,226",15,5,14,10,26,38,73,133,143,206,222,254,212,"1,351",40,13,31,27,86,111,197,297,331,404,383,371,286,"2,577"
,12.,2020/ március 16.,2020/ március 22.,18,10,14,30,68,92,156,193,172,193,180,142,74,"1,342",11,3,6,15,21,37,71,146,136,210,272,305,226,"1,459",29,13,20,45,89,129,227,339,308,403,452,447,300,"2,801"
,13.,2020/ március 23.,2020/ március 29.,23,11,13,36,38,69,122,193,174,174,151,133,87,"1,224",9,8,9,14,28,38,77,140,124,181,268,244,227,"1,367",32,19,22,50,66,107,199,333,298,355,419,377,314,"2,591"
,14.,2020/ március 30.,2020/ április 5.,19,7,12,30,48,67,152,185,171,166,139,120,60,"1,176",10,5,3,19,30,51,95,119,142,175,226,252,222,"1,349",29,12,15,49,78,118,247,304,313,341,365,372,282,"2,525"
,15.,2020/ április 6.,2020/ április 12.,19,11,20,27,71,81,154,178,145,172,142,128,90,"1,238",15,6,7,21,34,37,78,116,119,208,216,259,218,"1,334",34,17,27,48,105,118,232,294,264,380,358,387,308,"2,572"
,16.,2020/ április 13.,2020/ április 19.,17,5,10,41,63,97,123,183,160,170,163,123,70,"1,225",8,7,13,14,29,40,78,108,116,178,208,279,206,"1,284",25,12,23,55,92,137,201,291,276,348,371,402,276,"2,509"
,17.,2020/ április 20.,2020/ április 26.,18,10,11,34,48,69,139,163,175,160,131,124,55,"1,137",8,5,6,19,23,37,73,105,127,178,209,198,231,"1,219",26,15,17,53,71,106,212,268,302,338,340,322,286,"2,356"
,18.,2020/ április 27.,2020/ május 3.,25,6,14,25,51,68,114,159,148,144,136,113,51,"1,054",9,4,12,11,29,37,65,96,105,171,222,217,219,"1,197",34,10,26,36,80,105,179,255,253,315,358,330,270,"2,251"
,19.,2020/ május 4.,2020/ május 10.,13,8,15,40,51,76,119,159,142,175,144,104,58,"1,104",9,3,12,13,19,40,73,135,121,149,197,231,185,"1,187",22,11,27,53,70,116,192,294,263,324,341,335,243,"2,291"
,20.,2020/ május 11.,2020/ május 17.,22,14,15,31,45,77,142,183,151,152,142,121,68,"1,163",9,3,14,15,16,25,76,106,132,160,215,223,187,"1,181",31,17,29,46,61,102,218,289,283,312,357,344,255,"2,344"
,21.,2020/ május 18.,2020/ május 24.,15,11,15,24,42,83,105,161,148,166,122,102,55,"1,049",15,3,4,16,17,25,61,94,136,160,186,191,154,"1,062",30,14,19,40,59,108,166,255,284,326,308,293,209,"2,111"
,22.,2020/ május 25.,2020/ május 31.,30,10,18,27,42,73,122,165,139,144,126,115,51,"1,062",8,4,7,16,16,39,80,95,134,166,195,205,165,"1,130",38,14,25,43,58,112,202,260,273,310,321,320,216,"2,192"
,23.,2020/ június 1.,2020/ június 7.,22,5,21,20,51,91,165,183,155,159,129,114,70,"1,185",4,5,9,25,26,32,71,101,127,168,237,209,198,"1,212",26,10,30,45,77,123,236,284,282,327,366,323,268,"2,397"
,24.,2020/ június 8.,2020/ június 14.,18,11,20,30,41,69,125,160,136,168,145,121,73,"1,117",6,4,9,15,18,30,77,116,123,136,198,252,187,"1,171",24,15,29,45,59,99,202,276,259,304,343,373,260,"2,288"
,25.,2020/ június 15.,2020/ június 21.,20,6,20,37,52,64,128,143,176,117,117,92,57,"1,029",9,3,9,21,17,34,61,93,120,162,183,173,157,"1,042",29,9,29,58,69,98,189,236,296,279,300,265,214,"2,071"
,26.,2020/ június 22.,2020/ június 28.,17,14,20,27,50,88,135,172,151,161,122,127,60,"1,144",8,3,9,13,20,43,74,101,131,167,183,198,168,"1,118",25,17,29,40,70,131,209,273,282,328,305,325,228,"2,262"
,27.,2020/ június 29.,2020/ július 5.,23,5,16,30,52,79,121,164,170,181,126,116,64,"1,147",6,8,9,16,23,24,70,123,108,162,209,213,196,"1,167",29,13,25,46,75,103,191,287,278,343,335,329,260,"2,314"
,28.,2020/ július 6.,2020/ július 12.,15,8,13,25,42,75,146,156,138,139,148,104,52,"1,061",16,1,14,14,24,36,64,102,111,134,208,213,175,"1,112",31,9,27,39,66,111,210,258,249,273,356,317,227,"2,173"
,29.,2020/ július 13.,2020/ július 19.,12,5,17,23,56,67,112,160,169,143,137,118,61,"1,080",12,4,11,16,19,25,55,99,121,146,185,191,147,"1,031",24,9,28,39,75,92,167,259,290,289,322,309,208,"2,111"
,30.,2020/ július 20.,2020/ július 26.,18,2,16,29,45,64,117,168,140,159,110,109,53,"1,030",7,–,7,13,17,42,64,101,122,156,194,208,191,"1,122",25,2,23,42,62,106,181,269,262,315,304,317,244,"2,152"
,31.,2020/ július 27.,2020/ augusztus 2.,22,10,20,26,52,70,125,164,147,164,137,113,76,"1,126",5,3,12,21,33,46,72,102,109,178,218,267,166,"1,232",27,13,32,47,85,116,197,266,256,342,355,380,242,"2,358"
,32.,2020/ augusztus 3.,2020/ augusztus 9.,19,9,24,35,60,75,129,175,149,177,131,110,69,"1,162",8,4,9,14,26,34,83,107,126,152,201,221,165,"1,150",27,13,33,49,86,109,212,282,275,329,332,331,234,"2,312"
,33.,2020/ augusztus 10.,2020/ augusztus 16.,15,9,27,37,61,74,128,171,142,167,141,116,57,"1,145",8,7,7,14,23,26,65,117,121,152,173,223,184,"1,120",23,16,34,51,84,100,193,288,263,319,314,339,241,"2,265"
,34.,2020/ augusztus 17.,2020/ augusztus 23.,18,7,24,29,64,73,116,182,141,153,135,97,78,"1,117",4,5,7,16,26,35,59,95,138,145,177,210,188,"1,105",22,12,31,45,90,108,175,277,279,298,312,307,266,"2,222"
,35.,2020/ augusztus 24.,2020/ augusztus 30.,19,11,15,24,39,86,109,192,137,150,148,93,63,"1,086",8,6,6,10,27,40,62,104,123,162,181,207,182,"1,118",27,17,21,34,66,126,171,296,260,312,329,300,245,"2,204"
,36.,2020/ augusztus 31.,2020/ szeptember 6.,28,11,18,24,56,63,123,160,172,160,116,101,64,"1,096",7,3,11,16,21,34,57,97,101,175,209,221,172,"1,124",35,14,29,40,77,97,180,257,273,335,325,322,236,"2,220"
,37.,2020/ szeptember 7.,2020/ szeptember 13.,18,10,23,26,58,75,134,173,164,147,125,130,70,"1,153",11,1,5,10,26,39,59,105,125,160,198,239,199,"1,177",29,11,28,36,84,114,193,278,289,307,323,369,269,"2,330"
,38.,2020/ szeptember 14.,2020/ szeptember 20.,15,11,14,38,61,78,134,182,170,165,176,110,53,"1,207",12,6,9,15,30,32,74,102,128,191,213,249,203,"1,264",27,17,23,53,91,110,208,284,298,356,389,359,256,"2,471"
,39.,2020/ szeptember 21.,2020/ szeptember 27.,21,14,21,32,59,75,127,207,185,159,144,106,68,"1,218",9,8,10,15,22,31,62,121,139,184,237,223,180,"1,241",30,22,31,47,81,106,189,328,324,343,381,329,248,"2,459"
,40.,2020/ szeptember 28.,2020/ október 4.,24,18,18,26,51,88,122,186,172,193,150,120,77,"1,245",18,8,9,12,27,47,69,119,141,199,216,239,208,"1,312",42,26,27,38,78,135,191,305,313,392,366,359,285,"2,557"
,41.,2020/ október 5.,2020/ október 11.,22,11,13,32,64,82,132,177,180,180,152,132,71,"1,248",11,4,4,9,24,41,53,119,137,202,233,278,196,"1,311",33,15,17,41,88,123,185,296,317,382,385,410,267,"2,559"
,42.,2020/ október 12.,2020/ október 18.,19,10,19,36,58,72,157,198,185,208,146,146,68,"1,322",4,3,4,17,25,48,80,135,139,208,260,266,233,"1,422",23,13,23,53,83,120,237,333,324,416,406,412,301,"2,744"
,43.,2020/ október 19.,2020/ október 25.,29,11,15,44,61,87,150,226,217,207,180,133,73,"1,433",14,8,14,16,26,36,60,127,170,222,312,270,263,"1,538",43,19,29,60,87,123,210,353,387,429,492,403,336,"2,971"
,44.,2020/ október 26.,2020/ november 1.,22,4,14,41,62,80,160,252,225,236,217,157,95,"1,565",10,7,17,18,33,39,92,136,158,229,286,296,259,"1,580",32,11,31,59,95,119,252,388,383,465,503,453,354,"3,145"
,45.,2020/ november 2.,2020/ november 8.,21,10,23,42,68,100,153,273,241,256,220,209,117,"1,733",13,8,15,15,22,53,84,156,182,261,339,332,274,"1,754",34,18,38,57,90,153,237,429,423,517,559,541,391,"3,487"
,46.,2020/ november 9.,2020/ november 15.,30,7,24,50,81,102,183,274,305,291,278,199,100,"1,924",14,3,11,16,37,41,95,161,199,291,396,377,279,"1,920",44,10,35,66,118,143,278,435,504,582,674,576,379,"3,844"
,47.,2020/ november 16.,2020/ november 22.,17,10,20,43,60,123,202,312,306,288,250,178,116,"1,925",11,4,10,16,32,43,77,153,204,279,378,368,303,"1,878",28,14,30,59,92,166,279,465,510,567,628,546,419,"3,803"
,48.,2020/ november 23.,2020/ november 29.,12,9,23,48,58,91,204,305,283,289,256,222,114,"1,914",13,11,8,15,37,61,102,137,214,264,374,429,313,"1,978",25,20,31,63,95,152,306,442,497,553,630,651,427,"3,892"
,49.,2020/ november 30.,2020/ december 6.,20,9,27,36,76,115,201,290,291,275,261,168,118,"1,887",11,7,13,23,32,53,96,154,220,265,384,400,354,"2,012",31,16,40,59,108,168,297,444,511,540,645,568,472,"3,899"
,50.,2020/ december 7.,2020/ december 13.,25,11,24,49,47,89,165,264,249,286,251,174,105,"1,739",12,2,16,21,37,40,88,157,196,277,397,433,347,"2,023",37,13,40,70,84,129,253,421,445,563,648,607,452,"3,762"
,51.,2020/ december 14.,2020/ december 20.,21,10,19,35,55,99,193,220,259,259,208,163,111,"1,652",9,7,12,23,24,39,78,156,184,257,358,362,338,"1,847",30,17,31,58,79,138,271,376,443,516,566,525,449,"3,499"
,52.,2020/ december 21.,2020/ december 27.,28,5,21,35,76,110,176,250,242,270,187,162,98,"1,660",10,3,13,23,36,50,67,153,197,237,331,385,313,"1,818",38,8,34,58,112,160,243,403,439,507,518,547,411,"3,478"
